Name	ansi c	asm	sh	perl	tcl	cpp	awk	sed	lisp	csh	yacc	lex	python	pascal	xml	ruby	Total
linux-2.6.35.tar.gz	276159644	2741	40226	248249	0	36535	13925	1864	0	0	62896	31598	19117	0	0	0	276616795
linux-2.6.37.tar.gz	294907939	2710	40946	287933	0	37677	13951	1864	0	0	63326	31615	48982	0	0	0	295436943
linux-2.6.8.tar.gz	133738179	0	14367	36680	0	28623	0	0	0	0	56518	26186	1289	3216	0	0	133905058
linux-3.0.tar.gz	309230375	2710	47047	328427	0	37579	13951	1864	0	0	63353	29873	85501	0	0	0	309840680
linux-3.10.tar.gz	358652648	2670	86561	371622	0	37616	14661	1864	0	0	74324	36994	99352	0	0	0	359378312
linux-3.13.tar.gz	379348111	2670	87677	439675	0	37682	14925	1864	0	0	74363	37110	99398	0	0	0	380143475
linux-3.16.tar.gz	398333409	2670	138386	455139	0	37682	15215	1864	0	0	90703	40259	139446	0	0	0	399254773
linux-3.19.tar.gz	400565403	2670	148428	473226	0	37682	15268	1864	0	0	91803	41002	213313	0	0	0	401590659
linux-3.2.tar.gz	316409940	2710	54113	353350	0	37598	13951	1864	0	0	63321	30027	87267	0	0	0	317054141
linux-3.5.tar.gz	329634868	2710	65084	365244	0	37598	14661	1864	0	0	68650	34444	86101	0	0	0	330311224
linux-3.8.tar.gz	347572040	2670	80017	377871	0	37598	14661	1864	0	0	74240	36990	98972	0	0	0	348296923
linux-4.0.tar.gz	404253435	2670	149340	478682	0	37682	15268	1864	0	0	92216	41017	229500	0	0	0	405301674
linux-4.10.tar.gz	487517680	2670	266870	649408	0	44955	32351	1381	0	0	91482	45043	335536	0	0	0	488987376
linux-4.12.tar.gz	532066358	2454	296661	601829	0	44955	39226	1381	0	0	94190	45111	400761	0	0	0	533592926
linux-4.15.tar.gz	570676196	684	370431	617913	0	45153	36075	330	0	0	95523	45730	444008	0	0	0	572332043
linux-4.19.tar.gz	573134894	91090	658636	645965	0	45223	36090	330	0	0	97010	47413	548816	0	0	629	575306096
linux-4.2.tar.gz	434094830	2670	173591	564812	0	37732	15268	0	0	0	92107	42492	222831	0	0	0	435246333
linux-4.4.tar.gz	446419944	2670	188624	574288	0	38120	24186	0	0	0	93086	43142	243356	0	0	0	447627416
linux-4.7.tar.gz	465164313	2670	209462	581489	0	38144	31751	0	0	0	91003	44200	255524	0	0	0	466418556
